barcode;laboratory
7592806141016;Ronava
4029733000633;Vargas
4104480705113;Megalabs
733739100047;Now De Venezuela
733739100092;Now De Venezuela
733739104434;Now De Venezuela
733739100009;Now De Venezuela
733739104977;Now De Venezuela
733739100108;Now De Venezuela
733739100139;Now De Venezuela
733739100153;Now De Venezuela
733739100184;Now De Venezuela
733739100245;Now De Venezuela
733739100276;Now De Venezuela
736085069044;Elmor
736085445053;Elmor
7501303494716;AVPHARMA,C.A
75900212;Biotech
75901028;Biotech
75901035;Biotech
7591243826067;Biotech
75901370;Biotech
75901387;Biotech
75902261;Biotech
7591243804287;Biotech
7591243804409;Biotech
7591020000611;Valmorca
7591020000628;Valmorca
7591020000710;Valmorca
7591020000758;Valmorca
7591020001052;Valmorca
7591020001069;Valmorca
7591020001076;Valmorca
7591020001113;Valmorca
7591020001335;Valmorca
7591020001342;Valmorca
7591020001427;Valmorca
7591020001441;Valmorca
7591020001472;Valmorca
7591020001519;Valmorca
7591020001526;Valmorca
7591020001625;Valmorca
7591020008495;Valmorca
7591020003148;Valmorca
7591020003209;Valmorca
7591020003247;Valmorca
7591020003131;Valmorca
7591020003179;Valmorca
7591519317435;Calox
7591519317411;Calox
7591519317398;Calox
7591062010029;Elmor
7591062010036;Elmor
7591062010128;Elmor
7591062010173;Elmor
7591062011019;Elmor
7591062011057;Elmor
7591062011064;Elmor
7591062011163;Elmor
7591062011200;Elmor
7591062011217;Elmor
7591062011323;Elmor
7591062011347;Elmor
7591062011361;Elmor
7591062011378;Elmor
7591062011392;Elmor
7591062011538;Elmor
7591062011576;Elmor
7591062011606;Elmor
7591062011613;Elmor
7591062011637;Elmor
7591062011644;Elmor
7591062011804;Elmor
7591062011811;Elmor
7591062011828;Elmor
7591062011835;Elmor
7591062011965;Elmor
7591062014508;Elmor
7591062012221;Elmor
7591062901204;Elmor
7591062901198;Elmor
7591062012320;Elmor
7591062012948;Elmor
7591062902546;Elmor
7591062013112;Elmor
7591062013129;Elmor
7591062902539;Elmor
7591062013303;Elmor
7591062013327;Elmor
7591062901297;Elmor
7591062013495;Elmor
7591062013501;Elmor
7591062013907;Elmor
7591062014317;Elmor
7591062014386;Elmor
7591062014430;Elmor
7591062014492;Elmor
7591062014713;Elmor
7591062016670;Elmor
7591062000181;Elmor
7591062016731;Elmor
7591062011309;Elmor
7591062014362;Elmor
7591196000040;L.O. Oftalmi
7591196000057;L.O. Oftalmi
7591196000064;L.O. Oftalmi
7591196000071;L.O. Oftalmi
7591196000088;L.O. Oftalmi
7591196002204;L.O. Oftalmi
7591196000286;L.O. Oftalmi
7591196000293;L.O. Oftalmi
7591196000323;L.O. Oftalmi
7591196001610;L.O. Oftalmi
7591196000392;L.O. Oftalmi
7591196000439;L.O. Oftalmi
7591196000538;L.O. Oftalmi
7591196000545;L.O. Oftalmi
7591196000606;L.O. Oftalmi
7591196000637;L.O. Oftalmi
7591196000682;L.O. Oftalmi
7591196000705;L.O. Oftalmi
7591196000712;L.O. Oftalmi
7591196000767;L.O. Oftalmi
7591196000897;L.O. Oftalmi
7591196002198;L.O. Oftalmi
7703381001040;DOLLY FARMA, C.A
7591241838802;Biotech
7591241846609;Biotech
7591241846647;Biotech
7591242803144;Biotech
7591243817607;Biotech
7591242822626;Biotech
7591243826425;Biotech
7591243826708;Biotech
7591242826716;Biotech
7591243831474;Biotech
7591243831511;Biotech
7591243839753;Biotech
7591243845105;Biotech
7591243856705;Biotech
7591243806601;Biotech
7591243806625;Biotech
7591243806762;Biotech
7591243806809;Biotech
7591243807127;Biotech
7591243807202;Biotech
7591243810868;Biotech
7591243810905;Biotech
7591243811025;Biotech
7591243812343;Biotech
7591243812428;Biotech
7591243812596;Biotech
7591243815801;Biotech
7591243821000;Biotech
7591243821017;Biotech
7591243821840;Biotech
7591243829723;Biotech
75901714;Biotech
7591243831641;Biotech
7591243804041;Biotech
7591244804125;Biotech
7591244818887;Biotech
7591244818924;Biotech
7591244826004;Biotech
7591244826028;Biotech
7591244826141;Biotech
7591244826189;Biotech
7591244837048;Biotech
7591244840925;Biotech
7591309000530;Ponce
7591309000547;Ponce
7591309000608;Ponce
7591309000615;Ponce
7591309000967;Ponce
7591309000974;Ponce
7591309001049;Ponce
7591309010409;Ponce
7591309010416;Ponce
7591309010805;Ponce
7591309010812;Ponce
7591243807868;Biotech
7591243818345;Biotech
7591243843101;Biotech
7591519000016;Calox
7591519000023;Calox
7591519000085;Calox
7591519000092;Calox
7591519000108;Calox
7591519000115;Calox
7591519000160;Calox
7591519000177;Calox
7591519000191;Calox
7591519000207;Calox
7591519000214;Calox
7591519000252;Calox
7591519000344;Calox
7591519000351;Calox
7591519000382;Calox
7591519000474;Calox
7591519000498;Calox
7591519000504;Calox
7591519000535;Calox
7591519000566;Calox
7591519000788;Calox
7591519000795;Calox
7591519000900;Calox
7591519000917;Calox
7591519001037;Calox
7591519001044;Calox
7591519004069;Calox
7591519001273;Calox
7591519001334;Calox
7591519001365;Calox
7591519001471;Calox
7591519001501;Calox
7591519001518;Calox
7591519001525;Calox
7591519001549;Calox
7591519001587;Calox
7591519001594;Calox
7591519001655;Calox
7591519001662;Calox
7591519051292;Calox
7591519001709;Calox
7591519051643;Calox
7591519001921;Calox
7591519001945;Calox
7591519002171;Calox
75922092;Calox
7591519002683;Calox
7591519003024;Calox
7591519003208;Calox
7591519003246;Calox
7591519003253;Calox
7591519317787;Calox
7591519050783;Calox
7591519050806;Calox
7591519050844;Calox
7591519050851;Calox
7591519050905;Calox
7591585110923;Leti
7591585110930;Leti
7591585110947;Leti
7591585111005;Leti
7591585111791;Leti
7591585111906;Leti
7591585112439;Leti
7591585113580;Leti
7591585114709;Leti
7591585114884;Leti
7591585115911;Leti
7591585116710;Leti
7591585217875;Leti
7591585117892;Leti
7591585119247;Leti
7591585119254;Leti
7591585171634;Leti
7591585171740;Leti
7591585174581;Leti
7591585174598;Leti
7591585175892;Leti
7591585177827;Leti
7591585177919;Leti
7591585178169;Leti
7591585178176;Leti
7591585178275;Leti
7591585214881;Leti
7591585215901;Leti
7591585218438;Leti
7591585274106;Leti
7591585278166;Leti
7591585310453;Leti
7591585311634;Leti
7591585312303;Leti
7591619102016;Megalabs
7591619102023;Megalabs
7591619122014;Megalabs
7591619501024;Megalabs
7591619501031;Megalabs
7591619501017;Megalabs
7591619501048;Megalabs
7591619514024;Megalabs
7591619515021;Megalabs
7591955001301;Megalabs
7591955001370;Megalabs
7591619000763;Megalabs
7591955001462;Megalabs
75930516;Vita
75930530;Vita
7591808510035;Vita
7591818111017;Cofasa
7591818111024;Cofasa
7591818111048;Cofasa
7591818111055;Cofasa
7591818111086;Cofasa
7591818112069;Cofasa
7591818113011;Cofasa
7591818113028;Cofasa
7591818114001;Cofasa
7591818116005;Cofasa
7591818116043;Cofasa
7591818116067;Cofasa
7591818116104;Cofasa
7591818116111;Cofasa
nan;Cofasa
7591818118030;Cofasa
7591818118047;Cofasa
7591818118061;Cofasa
7591818131039;Cofasa
7591818136058;Cofasa
75919399;Biotech
75919443;Biotech
75919450;Biotech
75919504;Biotech
75919511;Biotech
7591955000090;Megalabs
7591955000106;Megalabs
7591955000113;Megalabs
7591955000120;Megalabs
7591955000144;Megalabs
7591955000151;Megalabs
7591955000168;Megalabs
7591955000175;Megalabs
7591955000427;Megalabs
7591955000489;Megalabs
7591955000496;Megalabs
7591955000861;Megalabs
7591955000878;Megalabs
7591955000915;Megalabs
7591955000991;Megalabs
7591955001004;Megalabs
7591955001011;Megalabs
7591955001028;Megalabs
7591955001264;Megalabs
7591955001271;Megalabs
7591955001288;Megalabs
7591955001295;Megalabs
7591955001486;Megalabs
7591955001493;Megalabs
7591955001509;Megalabs
7591955001622;Megalabs
7591955001639;Megalabs
7591955001660;Megalabs
7591955002162;Megalabs
7591955002421;Megalabs
7591955002452;Megalabs
7591955002469;Megalabs
75919719;Biotech
7592231001589;Farma
7591821800212;Farma
7592228000229;Farma
7592228500019;Farma
7592228001844;Farma
7592228000519;Farma
7591821101692;Farma
7592228001554;Farma
7592229000020;Farma
7591821900257;Farma
7592229000266;Farma
7591821900653;Farma
7592229001133;Farma
7591821901292;Farma
7592229001843;Farma
7591821901858;Farma
7592229001867;Farma
7592229001874;Farma
7592229002031;Farma
7592229002123;Farma
7591821101029;Farma
7591821902022;Farma
7591821901964;Farma
7592229001980;Farma
7592348203005;Polinac
7592348203104;Polinac
7592348204002;Polinac
7592348205009;Polinac
7592348208017;Polinac
7592348208208;Polinac
7592348216500;Polinac
7592348218009;Polinac
7592348218023;Polinac
7592348218122;Polinac
7592348218221;Polinac
7592348222600;Polinac
7592348227018;Polinac
7592348227506;Polinac
7592348227513;Polinac
7592348240000;Polinac
7592348413800;Polinac
7592349001662;Vargas
7592349078077;Vargas
7592349099362;Vargas
7592349099850;Vargas
7592349723212;Vargas
7592349721096;Zuoz Pharma, S.A
7592349275407;Vargas
7592349282412;Vargas
7592349722024;Vargas
7592349366082;Vargas
7592349367072;Vargas
7592349722536;Vargas
7592349722963;Vargas
7591651911041;Zuoz Pharma, S.A
7591651413279;Zuoz Pharma, S.A
7592349414424;Zuoz Pharma, S.A
7592349429602;Vargas
7592349429787;Vargas
7592349430004;Vargas
7592349722949;Vargas
7592349435054;Vargas
7592349455755;Vargas
7592349455830;Vargas
7592349455915;Vargas
7592349527124;Vargas
7591651722401;Zuoz Pharma, S.A
7591651001131;Zuoz Pharma, S.A
7592349551860;Vargas
7592349556087;Vargas
7592349723472;Vargas
7592349632064;Vargas
7592349633542;Vargas
7592349685695;Vargas
7592349722079;Vargas
7592349732054;Vargas
7592349734119;Vargas
7592349734454;Vargas
7592349949797;Vargas
7592349785012;Vargas
7591651839154;Zuoz Pharma, S.A
7592349844757;Vargas
7592349848229;Vargas
7592349857535;Zuoz Pharma, S.A
7592349848557;Vargas
7592349869262;Vargas
7592349882940;Vargas
7592349885835;Vargas
7592349722871;Vargas
7592349001549;Vargas
7592349723489;Vargas
7592349722161;Vargas
7592349891690;Vargas
7592349723229;Vargas
7592349894745;Vargas
7591651896805;Zuoz Pharma, S.A
7592349908459;Vargas
7592349908527;Vargas
7592349908602;Vargas
7592349910339;Vargas
7592349911244;Vargas
7592349918014;Vargas
