product_id;barcode;name;stock_merida;stock;stock_oriente;brand;price_usd;price_ves_discount;group;due_date;active_ingredient;scale;discount_per_scale;bonus;bonus_amount
19672;7596347794793;9-VIT INFUSION MULTIVITAMINICA I.V X 10ML DPT;0;2;57;KILITCH DRUGS;353.07;353.07;INYECTABLES;;MULTIVITAMINICO ;0.0;0.0;0.0;0.0
221123;612197152006;ABINTRA 27GR MEGALABS;1;22;24;MEGALABS;296.7;296.7;SUPLEMENTOS ALIMENTICIOS;2025-12-25;;0.0;0.0;0.0;0.0
65830;7591619520889;ABRETIA 10MG X 10 CAP MEGALABS;17;12;24;MEGALABS;535.35;535.35;MEDICAMENTOS;2025-03-25;ATOMOXETINE ;0.0;0.0;0.0;0.0
68952;7591619520896;ABRETIA 18MG X 10 CAP MEGALABS;106;77;48;MEGALABS;722.39;722.39;MEDICAMENTOS;2025-04-25;ATOMOXETINE ;0.0;0.0;0.0;0.0
68598;7591619520902;ABRETIA 25MG X 20 CAP ROEMMRS;166;24;24;ROEMMERS;1235.81;1235.81;MEDICAMENTOS;2027-02-25;ATOMOXETINE ;0.0;0.0;0.0;0.0
63810;7803510003638;ACCUALAXAN POLVO PARA SOL. ORAL X 255G MEGALA;13;68;15;ROWE;406.35;406.35;MEDICAMENTOS;2026-08-25;MACROGOL;0.0;0.0;0.0;0.0
66910;7803510003669;ACCUALAXAN SUSP. ORAL 17g X 7 SOB MEGALABS;16;94;16;ROWE;296.7;296.7;MEDICAMENTOS;2026-02-25;MACROGOL;0.0;0.0;0.0;0.0
09279-1;7591616000056;ACEITE COCO 30ML BIOFARCO;0;0;19;BIOFARCO;95.46;95.46;PATENTADOS NATURALES;;ACEITE DE COCO;0.0;0.0;0.0;0.0
180824;7599028000848;ACEITE DE ALMENDRAS 30ML LYA;107;2;48;LYA;73.28;73.28;PATENTADOS NATURALES;2026-09-25;ACEITE DE ALMENDRAS;0.0;0.0;0.0;0.0
09287-1;7591616000032;ACEITE DE ALMENDRAS DULCES 30CC BIOFARCO;26;5;24;BIOFARCO;67.09;67.09;PATENTADOS NATURALES;2026-10-25;ACEITE DE ALMENDRAS;0.0;0.0;0.0;0.0
