product_id;name;price_usd;stock;barcode;due_date
ML170;20/20 SOL. LIMP. 30CC.;108.21;10;7591929222015;2027-04
19285;5-HTP 100MG. X60CA;772.85;19;733739001054;2028-08
17872;9-VIT INFUSION I.V 10ML;355.81;27;7596347794793;2026-02
18316;ABECAB 5MG/20MG. X30TA;119.9;87;7598055000418;2025-11
11702;ABINTRA PVO.NJA.27G.1SOB.;299.0;61;612197152006;2025-12
11682;ABRETIA 10MG. X10CA;565.5;114;7591619520889;2027-05
11683;ABRETIA 18MG. X10CA;764.4;74;7591619520896;2027-06
17922;ABRETIA 25MG. X20CA;1287.0;33;7591619520902;2027-05
MK599;AC FOLICO +MK10MG. X20TA;48.35;811;7591519004892;2027-04
18774;AC FOLICO +MK10MG. X30TA;59.62;1907;7591519001112;2027-06
GB710;AC FOLICO GC10MG. X20CO;49.31;276;7592349926194;2027-01
VO107;AC FOLICO GENCER 10X30;74.72;279;7591020008174;2028-11
GN121;AC FOLICO GN10MG. X30CO;61.19;3815;7591585271495;2026-04
GN153;AC FOLICO GN5MG. X30CO;55.59;211;7591585271488;2026-04
KL105;AC FOLICO KL 10MG. X20CO;65.45;127;7591619501024;2027-07
KL110;AC FOLICO KL 5MG. X20CO;44.2;39;7591619501017;2029-06
KL100;AC FOLICO KL GOTAS 15ML.;227.24;358;7591619501031;2028-01
GM850;AC FOLICO MY GOTAS 15ML.;168.44;774;7592601300779;2026-05
GM100;AC FOLICO MY10MG. X20TA;33.26;1973;7592601300021;2026-05
12650;AC FOLICO NS 400MCG.100TA;387.27;30;646824237101;2025-12
18013;AC HIAL+COLAG+BIOT NS X60;397.76;210;646824257062;2027-04
15259;AC.ACETILSAL BM81MG.X30TA;84.24;505;7598127001046;2027-01
18308;ACCUALAXAN PPSO 17G.X7SO;299.0;28;7803510003669;2026-02
18309;ACCUALAXAN PPSO 225GR.;409.5;25;7803510003638;2026-03
13751;ACEITE ALMEND. SPRAYX70ML;271.96;44;7594001455363;2025-06
DT180;ACEITE ALMENDRAS DT 30X12;770.56;12;17591616000039;2026-10
11052;ACEITE ALMENDRAS FG 30ML.;126.58;39;112244301147;2027-04
19677;ACEITE ALMENDRAS FSI 30CC;86.65;71;7592368002909;2025-09
11050;ACEITE COCO FG 30ML.;107.07;37;112244301154;2027-02
KQ012;ACEITE CR.ARNICA RHEL250;172.48;59;7593434000942;2026-12
10441;ACEITE CR.BABY DERNIER200;77.13;22;7596049000123;2026-05
16291;ACEITE DE COCO BF 30ML.;91.38;125;7591616000056;2027-06
