barcode;name;price_usd;sale;due_date;stock
6971077610116;SET DE TRANSFUSION DE SANGRE X UNID (VALEMEDIC);0.59;0.00%;1/9/2028;1000
CA3751;ADHESIVO MICROPORE 1 X 10 YDS BLANCO X UNID (3M);1.55;0.00%;1/9/2028;1000
7702098400900;ADHESIVO MICROPORE 1 X 10 YDS PIEL X UNID (3M);2.28;0.00%;1/8/2028;1000
CA3750;ADHESIVO MICROPORE 1/2 X 10 YDS BLANCO X UNID (3M);0.89;0.00%;1/9/2025;1000
CA5544;ADHESIVO MICROPORE 1/2 X 10 YDS PIEL X UNID (3M);1.81;0.00%;1/6/2028;1000
34872436851;ADHESIVO MICROPORE 2 X 10 YDS BLANCO (3-M);3.11;0.00%;1/8/2028;1000
34872436877;ADHESIVO MICROPORE 3 X 10 YDS BLANCO (3M);4.85;0.00%;1/7/2028;1000
CA5343;ADHESIVO TRANSPORE 1 X 10 YDS BLANCO X UNID (3M);3.27;0.00%;1/5/2028;1000
CA5344;ADHESIVO TRANSPORE 2 X 10 YDS BLANCO X UNID (3M);4.77;0.00%;1/9/2028;1000
810028131101;AGUJA ESPINAL 26G/90MM X UNID (MC MEDICAL);0.62;0.00%;1/1/2028;1000
810028130357;AGUJA ESPINAL NRO 25G/90MM X UNID (MC MEDICAL);0.61;0.00%;1/10/2028;1000
1435102059912;AGUJA ESPINAL NRO 27G X UNID (JHC MEDICA);2.68;0.00%;1/6/2027;1000
10810965020381;"AGUJA HIPODERMICA DESC 27G 1/2"" X 100 UNID (SEBIS)";4.12;0.00%;1/3/2026;1000
7591616000278;ALCOHOL ABSOLUTO X 1 LITRO (BIOFARCO);7.99;0.00%;1/9/2025;1000
7591616000261;ALCOHOL ABSOLUTO X 120ML (BIOFARCO);2.33;0.00%;1/1/2027;1000
7591616000285;ALCOHOL ABSOLUTO X 240ML (BIOFARCO);3.78;0.00%;1/12/2026;1000
7598852000406;ALCOHOL ANTISEPTICO 70% X 1LT (UNIPHARMA);3.86;0.00%;30/1/2026;1000
7598852000413;ALCOHOL ANTISEPTICO AL 70% X 3.75 LITROS (UNIPHARMA);14.52;0.00%;1/9/2025;1000
7591616001985;ALCOHOL ANTISEPTICO AL 70% X 500ML (BIOFARCO);3.51;0.00%;1/1/2025;1000
7593255000176;ALGODON 100GR X UNID (ALGOBAP);2.42;0.00%;1/11/2028;1000
7593255000145;ALGODON 10GR X UNID (ALGOBAP);0.57;0.00%;1/10/2028;1000
7593255000152;ALGODON 25GR X UNID (ALGOBAP);0.80;0.00%;1/10/2028;1000
7593255000169;ALGODON 50GR X UNID (ALGOBAP);1.26;0.00%;1/10/2028;1000
7597830006270;BAJA LENGUA DE MADERA X 100 UNID (GROSSMED);2.89;0.00%;1/6/2028;1000
CA734;BATA DE CIRUJANO X 1 SMS (ALTA MEDIC);1.80;0.00%;1/10/2028;1000
34;BATA DE PACIENTE (ALTA MEDIC);0.75;0.00%;2/1/2034;1000
10813333013930;BOLSA DE RECOLECTOR DE ORINA PEDIATRICA X UNID (KXMEDICAL);0.22;0.00%;1/12/2026;1000
7597478000012;BOLSA RECOLECTORA ORINA 2000ML (GIDAGUS);0.76;0.00%;1/5/2027;1000
6938119324646;BOMBA ELASTOMERICA 100ML 3.0ML/HR (ALLPRO);19.86;0.00%;1/8/2027;1000
6938119324837;BOMBA ELASTOMERICA 150ML 3.0ML/HR (ALLPRO);22.77;0.00%;1/8/2027;1000
810965020520;BURETA DE INFUSION 110ML X UNID (SEBIS);1.77;0.00%;1/3/2027;1000
7597478000807;CANULA DE OXIGENO NASAL PED X UNID (GIDAGUS);0.63;0.00%;1/11/2026;1000
810965021725;CATETER ALIMENTACION LEVIN NRO 10 X UNID (SEBIS);0.57;0.00%;1/5/2027;1000
810965021732;CATETER ALIMENTACION LEVIN NRO 12 X UNID (SEBIS);0.57;0.00%;1/5/2027;1000
810965021718;CATETER ALIMENTACION LEVIN NRO 8 X UNID (SEBIS);0.56;0.00%;1/5/2027;1000
916214425671;CATETER DOBLE J CON GUAYA 5FR X UNID (AUSTIN MEDICS);27.50;0.00%;1/5/2028;1000
161621442883;CATETER DOBLE J CON GUAYA 6FR X UNID (AUSTIN MEDICS);27.50;0.00%;1/5/2028;1000
3170472410016;CATETER EPIDURAL 16G X KIT (MED-AID);10.08;0.00%;1/9/2028;1000
CA5555;CATETER EPIDURAL16G X UNID (SMITHS MEDICAL);10.81;0.00%;1/2/2028;1000
101234567890128;CATETER HEMODIALISIS BILUMEN 12FR X 20CM X UNID (AUSTIN MEDICS);25.92;0.00%;1/6/2026;1000
CA5557;CATETER VIA CENTRAL 1 LUMEN 14GA X 20CM X UNID (H&H);12.58;0.00%;1/4/2024;1000
48;CENTRO DE CAMA DESCARTABLE X 12 PAQ (DESCART);6.38;0.00%;;1000
7595651000040;CEPILLO QUIRURGICO CON CLORHEXIDINA X UNID (BIOSCRUB);0.78;0.00%;1/2/2026;1000
7595651000033;CEPILLO QUIRURGICO CON YODO X UNID (BIOSCRUB);0.61;0.00%;1/3/2026;1000
7592194002265;CODERA ELASTICA ACTIMOVE TALLA M (KX MEDICAL);8.29;0.00%;1/6/2035;1000
813333013544;COJIN PARA HEMORROIDE INFLABLE 45CM X UNID (KX MEDICALS);25.48;0.00%;;1000
CA5334;COLECTOR DE SECRECIONES 40CC X UNID (SUQUIR );4.07;0.00%;1/11/2028;1000
7707291340756;COLLARIN CERVICAL TIPO FILADELFIA TALLA L (KAMEX);24.64;0.00%;;1000
7707291340749;COLLARIN CERVICAL TIPO FILADELFIA TALLA M (KAMEX);24.64;0.00%;;1000
7598778000382;COMPRESA DE LAPARATOMIA ESTERIL 18 X 5 UNID (BIALY);3.51;0.00%;1/6/2028;1000
6971077611342;CUBRE BOTAS DESCARTABLE X PAR (VALEMEDIC);0.13;0.00%;1/4/2028;1000
CA633;CUBRE BOTAS SMS X PAR (ALTA MEDIC);0.29;0.00%;1/1/2030;1000
CA4115;CULTURETE ADULTO X UNID (GENERICO);0.62;0.00%;1/10/2026;1000
7597478002245;CURITA ADHESIVA ELASTICAS X 20 UNID (GIDAGUS);0.93;0.00%;2/7/2024;1000
7597478002252;CURITA ADHESIVA 72X19MM COLOR TRANSPARENTE X 20 UNID (GIDAGUS);0.81;0.00%;1/9/2023;1000
7703689000479;DIU T DE COBRE X UNID (PROFAMILIA);4.77;0.00%;1/12/2027;1000
7597478001682;ELECTRODO ADULTO X 50 UNID (GIDAGUS);7.62;0.00%;1/9/2024;1000
7597478001699;ELECTRODOS PEDIATRICO X 50 UNID (GIDAGUS);7.62;0.00%;1/9/2024;1000
813333010987;ESPECULO VAGINAL TALLA L X UNID (KX MEDICAL);0.85;0.00%;;1000
813333013957;ESPECULO VAGINAL TALLA M X UNID (KX MEDICALS);0.85;0.00%;1/8/2028;1000
6971077610253;ESPECULO VAGINAL TALLA M X UNID (VALEMEDIC);1.03;0.00%;1/8/2028;1000
CA5608;ESPECULO VAGINAL TALLA S X UNID (GENERICO);1.29;0.00%;;1000
