CODIGO;DESCRIPCION;PRECIO;CANTIDAD;DCTO;MARGENFAR;DCTO_UFI;EMPAQUE;DCTO_EMPQUE;CODBARRAS;TIPO;CODPROV;LOTE;FECHA_EXP;REGULADO;CADENA_FRIO;DCTO_COMER;DCTO_PP;ORIGINAL;UMF;FECHAINGRESO;ADM
ML160;20/20 SOL. ACOND. 120CC.;219.56; 4; 0.00; 0.00;0.00; 0; 0.00;7591929232021;C;ML;20A123002; 2026-08;N;NO;4.00; 0.00;64;1;2024-03-09;0
ML170;20/20 SOL. LIMP. 30CC.;108.21; 45;0.00; 0.00;0.00; 0; 0.00;7591929222015;C;ML;20L23003;2026-12;N;NO;4.00; 0.00;48;1;2024-02-26;0
19285;5-HTP 100MG. X60CA;735.15; 24;0.00; 0.00;0.00; 0; 0.00;733739001054; N;NW;3283663; 2028-02;N;NO;4.00; 0.00;12;1;1900-01-01;0
19220;9-VIT ENERGYPLUS X20TE;357.90; 267; 0.00; 0.00;0.00; 0; 0.00;791466996005; M;100923;X120301; 2026-10;N;NO;4.00; 0.00;224; 1;2024-03-15;0
17872;9-VIT INFUSION I.V 10ML; 357.90; 1430;0.00; 0.00;0.00; 0; 0.00;7596347794793;M;100923;KLV3021; 2025-11;N;NO;4.00; 0.00;240; 1;2024-03-15;0
17420;ABC DETERG.LIMON 800GR.; 63.27;78;0.00; 0.00;0.00; 0; 0.00;7591083018837;C;100684;3104VE1016A; 2025-04;N;NO;4.00; 0.00;20;1;2024-03-17;0
18316;ABECAB 5MG/20MG. X30TA;209.30; 103; 0.00; 0.00;25.00;0; 0.00;7598055000418;M;IC;CI064; 2025-11;N;NO;4.00; 0.00;72;1;2024-03-09;0
11683;ABRETIA 18MG. X10CA; 728.00; 41;0.00; 0.00;5.00; 0; 0.00;7591619520896;M;KN;0003;2026-07;N;NO;4.00; 0.00;24;1;2024-03-14;0
MK599;AC FOLICO +MK10MG. X20TA;48.35;205; 0.00; 0.00;0.00; 0; 0.00;7591519004892;M;MK;34825; 2026-11;N;NO;4.00; 0.00;120; 1;2024-03-09;0
18774;AC FOLICO +MK10MG. X30TA;55.65;668; 0.00; 0.00;0.00; 0; 0.00;7591519001112;M;MK;34411; 2026-07;N;NO;4.00; 0.00;120; 1;2024-03-09;0
