id;product_info;row_1;medicine_type;barcode;price;stock;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;laboratory;price_usd
000001;ACEITE DE ALMENDRAS 30 ML LYA;0001;RECETURA;7599028000848;52.97;11;0;0;0;0.00;NO;     ; ;0;0;0001;LYA;1.46;
000002;FEBRILIX GRIP  X 10TAB KIMICEG;0002;KIMICEG;7592616576046;64.59;67;0;0;0;0.00;NO;     ; ;0;0;0002;KIMICEG;1.85;
000004;ACETAMINOFEN (FEBRILIX) 500MG CAJA X 20 TAB KIMICEG;0002;KIMICEG;7592616203010;50.36;151;0;0;0;0.00;NO;     ; ;0;0;0002;KIMICEG;1.39;
000007;ACETAMINOFEN 120MG/5ML SUSP ORAL 120ML LAND;0005;JARABE;7598008000014;47.16;104;0;0;0;0.00;NO;     ; ;0;0;0006;LAND;1.30;
000008;ACETAMINOFEN 150MG/5ML 120ML LAPROFF;0005;JARABE;7703038067269;54.78;610;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;1.51;
000009;ACETAMINOFEN 150MG/5ML X 60ML LAPROF;0005;JARABE;7703038060987;31.20;385;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;0.86;
000011;ACETAMINOFEN 500 MG CAJA X 300 TAB X 30  BLIST LAPROF;0006;BLISTER;7703038050018;300.76;381;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;8.29;
000013;ACETAMINOFEN 500 MG X 10 TAB JL;0003;COMERCIAL CAJA;7598650000080;16.33;18;0;0;0;0.00;NO;     ; ;0;0;0010;JL;0.45;
000016;ACETAMINOFEN 750 MG X 10 COMP SPEFAR;0004;SPEFAR;7590027002079;78.04;160;0;0;0;0.00;NO;     ; ;0;0;0004;SPEFAR;2.15;
000017;ACETAMINOFEN 150MG/5ML  X 60 ML COASPHARMA;0005;JARABE;7703712035447;51.88;40;0;0;0;0.00;NO;     ; ;0;0;0011;COASPHARMA;1.43;
000018;ACETAMINOFEN SUSP ORAL 250MG/5ML 100ML KMPLUS;0005;JARABE;6942189530197;60.22;84;0;0;0;0.00;NO;     ; ;0;0;0012;KMPLUS;1.66;
000020;ACETAMINOFEN 650 CAFEINA 65 X 10 TAB EVERMED;0003;COMERCIAL CAJA;8906005118349;31.20;33;0;0;0;0.00;NO;     ; ;0;0;0003;EVERMED;0.86;
000021;ACICLOVIR 200MG CAJA X 100 TAB X 10 BLIST LAND;0006;BLISTER;7598008000090;305.11;7;0;0;0;0.00;NO;     ; ;0;0;0006;LAND;8.41;
000024;ACICLOVIR 500MG X 10 TAB JL;0003;COMERCIAL CAJA;7598650000097;56.96;1;0;0;0;0.00;NO;     ; ;0;0;0010;JL;1.57;
000029;ACIDO FOLICO  5MG CAJA X 200 TAB X 10 BLIST BIOVENEZUELA;0006;BLISTER;08904324100922;101.58;23;0;0;0;0.00;NO;     ; ;0;0;0017;BIOVENEZUELA;2.80;
000033;ACIDO TRANEXAMICO 500MG/5ML I,V CAJA X 10 AMPOLLA KMPLUS;0007;AMPOLLA;730170648978;271.74;6;0;0;0;0.00;NO;     ; ;0;0;0012;KMPLUS;7.49;
000036;ADRENALINA 1 MG/1ML  Epinefrina X 1 AMPOLLA BIOSANO;0007;AMPOLLA;7591096001499;12.34;41;0;0;0;0.00;NO;     ; ;0;0;0022;BIOSANO;0.34;
000038;AEROCHAMBER  ADULTO BIO-MERCY;0010;EQUIPOS MEDICOS;6920210513029;634.28;2;0;0;0;0.00;NO;16.00; ;0;0;0023;BIO-MERCY;17.48;
000040;AGUA ESTERIL AMP 10ML CRUZ VERDE;0007;AMPOLLA;203571228037;10.88;330;0;0;0;0.00;NO;     ; ;0;0;0020;CRUZ VERDE;0.30;
000041;AGUA OXIGENADA 3% 500CC ALNA;0010;EQUIPOS MEDICOS;7593255000114;43.54;21;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;1.20;
000042;AGUA OXIGENADA 3% 100CC ALNA;0010;EQUIPOS MEDICOS;7593255000091;16.69;84;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.46;
000043;AGUA OXIGENADA 3% 120CC ALNA;0010;EQUIPOS MEDICOS;759325500237;18.87;126;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.52;
000044;AGUA OXIGENADA 3% 240CC ALNA;0010;EQUIPOS MEDICOS;7593255000107;28.66;92;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.79;
000045;ALBENDAZOL 20ML CAJA X 12 SOBRE LAPROF;0005;JARABE;7703038050049;281.52;30;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;7.76;
000046;ALBENDAZOL 200 MG CAJA X 50TAB X 25  BLIST LAPROF;0006;BLISTER;7703038050056;285.16;37;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;7.86;
000052;ALCOHOL ABSOLUTO 96% 100CC ALNA;0010;EQUIPOS MEDICOS;7593255000305;27.94;200;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.77;
000053;ALCOHOL ABSOLUTO 96% 240CC ALNA;0010;EQUIPOS MEDICOS;7593255000329;59.14;49;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;1.63;
000054;ALCOHOL ABSOLUTO 96% 120CC ALNA;0010;EQUIPOS MEDICOS;7593255000312;33.74;89;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.93;
000056;ALCOHOL AL 70% SOMTEX 240 ML SOMA (CHEMYCALS);0010;EQUIPOS MEDICOS;7596139004277;72.56;3;0;0;0;0.00;NO;     ; ;0;0;0027;LABORA CHEMYCALS SOM;2.00;
000057;ALCOHOL ANTISEPTICO 70% 100CC ALNA;0010;EQUIPOS MEDICOS;7593255000244;23.58;258;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.65;
000058;ALCOHOL ANTISEPTICO 70% 120CC ALNA;0010;EQUIPOS MEDICOS;7593255000299;27.21;151;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.75;
000059;ALCOHOL ANTISEPTICO 70% 240CC ALNA;0010;EQUIPOS MEDICOS;7593255000251;44.26;27;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;1.22;
