barcode;product;price;due_data;stock
733739001054;5-HTP 100 mg 60 VCAPS NOW;729.49;2028-02-25;4
7591619520896;ABRETIA 18MG X 10 CAP MEGALABS;722.39;2025-04-25;82
7803510003638;ACCUALAXAN POLVO PARA SOL. ORAL X 255G MEGALA;406.35;2026-02-25;71
7803510003669;ACCUALAXAN SUSP. ORAL 17g X 7 SOB MEGALABS;296.7;2026-02-25;103
7597134000097;ACEITE DE ALMENDRA X 120 ML LA ABEJITA;150.49;;2
7599028000848;ACEITE DE ALMENDRAS 30ML LYA;65.58;2026-08-25;97
7591616000032;ACEITE DE ALMENDRAS DULCES 30CC BIOFARCO;67.09;;39
7599028000046;ACEITE DE COCO USO EXTERNO 30 CC LYA;83.18;2026-08-25;51
7597134000103;ACEITE DE RICINO X 120 ML LA ABEJITA;183.82;2024-06-25;25
7795380043091;ACEMUK 100 ML JBE MEYER;552.67;2024-07-25;46
7795380043145;ACEMUK 600 MG X 10 COMP MEYER;425.37;2024-08-25;68
7707355055756;ACEMUK 600 MG X 30 COMP MEYER;983.94;2024-10-25;70
7591196004802;ACETAB 250MG X 20 TAB OFTALMI;526.83;2025-02-25;141
8904180212937;ACETAM. AC.ACET. CAFEI.(ASTAMINOL) X20TAB JMW;38.67;2024-06-25;878
18906047594450;ACETAMINO+TIOCOLCHICOSI 500/4mg X100TAB JMW;1102.99;2024-08-25;12
7591196006387;ACETAMINOFEN 120MG/5ML JBE 120ML OFTALMI;88.02;2026-11-25;818
7591196006486;ACETAMINOFEN 120MG/5ML JBE 60ML OFTALMI;52.47;2026-10-25;307
7591818132074;ACETAMINOFEN 120MG/5ML JBE X120ML COFASA;91.5;2027-09-25;31
7597758000770;ACETAMINOFEN 125 MG SUPOSITORIOS X 6 ALESS;63.07;2025-11-25;440
7591585177780;ACETAMINOFEN 180MG/5ML JBE X 90ML GENVEN;70.38;2026-01-25;1472
7597758000787;ACETAMINOFEN 250 MG SUPOSITORIOS X 6 ALESS;74.12;2025-11-25;433
7592454003384;ACETAMINOFEN 500 MG DISP X 100 TAB LA SANTE;223.43;2025-01-25;5
7591585376657;ACETAMINOFEN 500 MG X 10 COMP GENVEN;26.44;2026-02-25;2976
7591519004144;ACETAMINOFEN 500MG X 10 TAB  CALOX;33.63;2026-09-25;541
18906047595013;ACETAMINOFEN 500MG X 100 TAB JMW;98.61;;1
7597758000596;ACETAMINOFEN 500MG X 20 TAB ALESS;27.99;2025-04-25;1124
7591519005264;ACETAMINOFEN 650MG X 10 TAB  CALOX;38.24;2026-12-25;712
7591519001228;ACETAMINOFEN 650MG X 10 TAB (MOROCHO) CALOX;43.7;2026-10-25;456
7591585479051;ACETAMINOFEN 650MG X 8 BLIST X 10 COMP LETI;210.94;2026-01-25;97
7594000850855;ACETAMINOFEN JBE 120MG/5ML X 100ML BIOQUIMICA;76.6;2026-11-25;1519
7597758000459;ACETAMINOFEN JBE PED 180/5ML X120ML ALESS;65.07;2025-06-25;2542
7594000850824;ACETAMINOFEN JBE. 180MG X 120ML BIOQUIMICA;88.69;2026-04-25;506
7598981001176;ACETAMINOFEN SUSP ORAL  120MG/5MG X 60ML JMW;45.5;2026-05-25;247
7598981000582;ACETAMINOFEN SUSPENSION 125 MG /5ML X60 JMW;58.62;2025-08-25;1161
6921875008530;ACETAMINOFEN TAB 500 MG X 10 KMPLUS;19.97;2025-10-25;425
7594001101604;ACETAMINOFEN TAB 650MG X 10 PLUSANDEX;28.78;2024-11-25;1148
7591519008494;ACETAMINOFEN-TRAMADOL 325/37,5mg x10 TA CALOX;90.07;2027-02-25;37
7591196006523;ACETAMINOFENO 500MG X30 TAB OFTALMI;67.05;2026-11-25;229
7592806121018;ACETOBEN FRASCO 120 ML RONAVA;180.6;2026-10-25;35
7591020006156;ACEVAL 100MG/ML X 30ML GTAS  VALMOR;114.65;2024-12-25;118
7591020008839;ACEVAL 180MG/5ML X 120ML SOL VALMOR;119.8;2025-03-25;175
7591020000611;ACEVAL 650MG X 10 TAB VALMOR;52.89;2027-08-25;600
7591020008471;ACEVAL 650MG X 50 TAB VALMOR;224.63;2027-08-25;85
7591020009423;ACEVAL DIA ANTIG. 650MG X 20MG X 2MG 8 TAB VA;73.01;2025-06-25;346
7591020009430;ACEVAL NOCHE ANTIG. 650MG X 4MG 6 TAB VALMOR;73.01;2025-06-25;348
7591585111838;ACICLOR  TAB 1G X 10 LETI AP;665.8;2026-09-25;82
7591585311634;ACICLOR 5% CREMA X10G GENVEN;231.37;2025-10-25;33
7750215001905;ACICLOVIR 0,05% CREMA X 5G PORTUGAL;116.28;2026-04-25;1
7591519005639;ACICLOVIR 200 MG TAB X 25 CALOX;176.39;2026-10-25;165
7598252101307;ACICLOVIR 200 MG X 100 TAB  DISTRILAB;197.11;2025-01-25;3
7750215003602;ACICLOVIR 200 MG X 100 TAB  PORTUGAL;360.67;;13
7591519001099;ACICLOVIR 5% X CREMA TOPICA CALOX;152.73;;58
7591196003195;ACIDO ACETILSALICILICO 81 MG X 24 TAB OFTALMI;102.3;;9
7467922682173;ACIDO ACETISAL (NORPRIM) 81MG X 100TAB FARQUI;124.43;2025-09-25;270
8904159499772;ACIDO ASCORBICO 100MG ML X 10 AMP ADN;308.88;2024-08-25;34
7594000850282;ACIDO ASCORBICO 100MG/5ML 30ML BIOQUIMICA;96.75;2025-09-25;79
1759825210;ACIDO ASCORBICO 500MG/5ML X 10 AMP DISTRILAB;243.01;2025-03-25;48
7599028000787;ACIDO BORICO (VAGINAL) X 10 CAPS. LYA;79.84;2027-01-25;8
7599028000572;ÁCIDO BÓRICO 20 G LYA;54.32;2026-11-25;149
8904180211565;ACIDO FOLICO (CIDOFOL) 5MG/ML X10 AMP SOL INY;469.56;2024-07-25;793
7591619501031;ACIDO FOLICO 10 MG / ML GTAS X 15ML KLINOS;225.75;2026-10-25;397
7591585171498;ACIDO FOLICO 10 MG X 20 TAB GENVEN;37.23;2026-01-25;233
7594001101338;ACIDO FOLICO 10MG TAB X 20 PLUSANDEX;37.15;;480
7592601303190;ACIDO FOLICO 5 MG X 10 TAB MEYER;11.88;2025-06-25;1
7592601300014;ACIDO FOLICO 5 MG X 20 TAB MEYER;20.95;2025-06-25;343
7594001101314;ACIDO FOLICO 5 MG X 30 TAB  PLUSANDEX;46.44;;402
7598981002449;ACIDO FOLICO 5 MG X 30 TAB JMW;39.91;2025-05-25;975
17598252101571;ACIDO FOLICO AMP 10MG/2ML X 10 AMP DISTRILAB;444.09;2024-06-25;10
7591619501048;ACIDO FOLICO CAJA X 3AMP KLINOS;300.57;2024-07-25;29
7598813000339;ACIDO FOLICO COMP 10 MG X 10 TAB MM;26.97;2025-12-25;95
7591619501024;ACIDO FOLICO COMP 10 MG X 20 KLINOS;64.5;2027-07-25;1481
7591020008174;ACIDO FOLICO COMP 10MG X 30 GENCER;81.9;2027-03-25;389
7591519001112;ACIDO FOLICO COMP 10MG X 30 TAB CALOX;55.22;;8
7591619501017;ACIDO FOLICO COMP 5 MG X 20 KLINOS;41.28;2028-07-25;209
7591619000213;ACIDO FOLICO COMP 5 MG X 30 KLINOS;60.63;;18
7592601300779;ACIDO FOLICO GOTAS  X 15 ML MEYER;202.14;2025-12-25;603
7598981001138;ACIDO FOLICO IM/IV 10MG/2ML X 10 AMP JMW;243.23;2026-02-25;170
7594001101345;ACIDO FOLICO TAB  10MG X 30 PLUSANDEX;51.08;;1168
18906047595709;ACIDO SALICILICO UNGÜENTO 6% 20G JMW;127.72;2025-02-25;152
18906047595532;ACIDO TRANEXAMICO 500MG X 100 TABLETAS JMW;971.98;2024-11-25;27
7467922680018;ACIFAR (ANTIACIDO) SUSP ORAL MENTA 150 ML JMW;303.81;2026-11-25;384
7591519051865;ACLER 150MG X 1 TAB MCK;184.69;2025-05-25;239
7795368002249;ACRYLARM (ACIDO POLIA) GEL 0.2% X10G POEN;828.17;2026-08-25;4
7841134017822;ACUAFIL(DEXTRAN+HIDROXIPR)0.1%0.05SOL OFT10ML;196.75;2025-10-25;24
7591309003692;ADEL UNGUENTO 50GR PYB;136.26;;183
7591844000712;ADEMINA GEL ANTIBACTERIAL 100ML ETIFAR;64.5;2025-09-25;94
7591844000750;ADEMINA KIDS LOC HIDRAT ROSADA 170GR ETIFAR;99.33;2026-07-25;48
7591844000729;ADEMINA KIDS REVITAL.CAPILAR 200ML ROS ETIFAR;77.4;2026-04-25;26
7591844000583;ADEMINA KIDS X 60GR ETIFAR;154.8;2026-04-25;19
7591844000606;ADEMINA SOL.JAB. 190CC. ETIFAR;66.42;2026-09-25;103
7597467001570;ADH DURAPOR 2X10YDS PLASTIC COVER 1X6PROMEINT;853.22;2027-04-25;53
7597467001617;ADH MICROP. 2X10YDS PLASTIC COVER 1X6PROTEINT;534.25;2025-04-25;5
7597467001600;ADH MICROP.1/2X10YDS PLASTIC COVE 1X24PROTEIN;734.35;2025-04-25;4
7597467001594;ADH MICROP.1X10 YDS PLASTIC COVER1X12 PROTEIN;617.06;2025-04-25;12
7597467001655;ADH TRANS. 2X10 YDS PLASTIC COVER 1X6 PROTEIN;598.71;2027-04-25;24
7597467001631;ADH TRANS.1X10 YDS PLASTIC COVER 1X12 PROTEIN;598.18;2025-04-25;13
7597467001648;ADH TRANSP.1/2X10 YDS PLASTIC COVE 1X24PROME.;773.67;2027-04-25;6
7597467000641;ADHESIVO DURAPORE 2¨X5 YDS CAJA X6 PROMEINT;628.49;;26
7597467000665;ADHESIVO MICROPORE 1¨X5 YDS CAJA X12 PROMEI;497.35;2026-06-25;44
7597467000672;ADHESIVO MICROPORE 2¨X5 YDS CAJA X 6 PROMEINT;497.16;2028-06-25;71
7597467000849;ADHESIVO MICROPORE 3 X5YDS CAJA X 6 PROMEINT;460.02;2026-06-25;60
7597467000702;ADHESIVO TRANSPORE 1¨X5 YDS CAJA X12 PROMEIN;513.76;2026-06-25;36
7597467000719;ADHESIVO TRANSPORE 2¨X5 YDS CAJA X 6 PROMEINT;513.76;2026-02-25;362
7597297000446;ADVANCED CRYSTALS ICEBERG 120G;30.75;;9
6920210513029;AEROCHAMBERS ADULTO BIO-MERCY;707.83;2027-05-25;32
6920210513012;AEROCHAMBERS PEDIATRICO BIO-MERCY;674.12;;1
7591818210406;AEROFLAT SUSP ORAL 80 MG X 20 ML COFASA;259.08;;1
7591196007186;AFLAMAX 50 MG  X 10 TAB OFTALMI;40.3;0000-00-00;16827
7591196004451;AFLAMAX 50 MG  X 20 TAB OFTALMI;75.32;2025-08-25;5990
7591619163024;AFOKLIN 10 MG X 20 COMP KLINOS;72.24;2024-10-25;107
7591619163017;AFOKLIN 5 MG X 20 COMP KLINOS;41.28;2024-09-25;1844
7591619163031;AFOKLIN GOTAS 15 ML KLINOS;215.43;2025-02-25;79
7596211001156;AGUA MICELAR ZOAH;182.03;2026-04-25;20
7591956110248;AGUA OXIGENADA 10 V/V 3% 1000CC EL GUARDIAN;85.04;2027-02-25;75
7591956110217;AGUA OXIGENADA 10 V/V 3% 120CC EL GUARDIAN;20.83;2027-02-25;598
7591956110224;AGUA OXIGENADA 10 V/V 3% 240CC EL GUARDIAN;30.41;2025-07-25;880
7591956110231;AGUA OXIGENADA 10 V/V 3% 500CC EL GUARDIAN;48.03;2027-02-25;227
7593255000138;AGUA OXIGENADA 3% 3.785ML X 1 ALNA;314.16;;1
