barcode;product;price;due_data;stock
7591929232021;20/20 SOL. ACOND. 120CC.;219.56; 2026-08;6
7591929222015;20/20 SOL. LIMP. 30CC.;108.21;2026-12;45
733739001054;5-HTP 100MG. X60CA;735.15; 2028-02;24
791466996005;9-VIT ENERGYPLUS X20TE;357.9; 2026-10;274
7596347794793;9-VIT INFUSION I.V 10ML;357.9; 2025-11;1447
7591083018837;ABC DETERG.LIMON 800GR.;63.2; 2025-04;106
7598055000418;ABECAB 5MG/20MG. X30TA;209.3; 2025-11;103
7591619520896;ABRETIA 18MG. X10CA;728.0;2026-07;41
7591519004892;AC FOLICO +MK10MG. X20TA;48.35; 2026-11;215
7591519001112;AC FOLICO +MK10MG. X30TA;55.65; 2026-07;668
7592349926194;AC FOLICO GC10MG. X20CO;46.96; 2026-08;328
7591020008174;AC FOLICO GENCER 10X30;82.15;2028-11;145
7591585271495;AC FOLICO GN10MG. X30CO;57.08; 2026-01;3
7591585271488;AC FOLICO GN5MG. X30CO;58.08; 2026-01;1142
7591619501024;AC FOLICO KL 10MG. X20CO;65.0;2027-07;1387
7591619000220;AC FOLICO KL 10MG. X30CO;96.2;2028-08;20
7591619501031;AC FOLICO KL GOTAS 15ML.;227.5;2026-10;526
7592601300779;AC FOLICO MY GOTAS 15ML.;203.71;2025-12;677
7592601300014;AC FOLICO MY5MG. X20TA;84.45;2025-11;1611
646824237101;AC FOLICO NS 400MCG.100TA;303.3; 2024-12;48
7594001101338;AC FOLICO PX10MG. X20TA;41.6;2026-11;1806
7594001101345;AC FOLICO PX10MG. X30TA;57.2;2027-02;4139
646824257062;AC HIAL+COLAG+BIOT NS X60;373.88; 2026-11;56
7803510003669;ACCUALAXAN PPSO 17G.X7SO;299.0; 2026-02;26
7803510003638;ACCUALAXAN PPSO 225GR.;409.5; 2026-02;17
617748376269;ACEIT CORP MAGNESIO 118ML;289.58; 2026-08;5
0147597773000197 N;ACEITE ALME.BMT30ML.X6;871.57;N;1
7597134000097;ACEITE ALMEND. ABE 120ML;151.66;2025-09;11
7594001455363;ACEITE ALMEND. SPRAYX70ML;265.16;2025-06;258
17591616000039;ACEITE ALMENDRAS DT 30X12;799.03;2026-10;1
7592368002923;ACEITE ALMENDRAS FS 30X12;967.2; 2025-03;2
7594001455356;ACEITE COCO SPRAY X70ML;172.89;2025-02;2
7593434000942;ACEITE CR.ARNICA RHEL250;147.41; 2026-09;10
7591616000162;ACEITE MINERAL BF 30ML.;64.03;2026-10;108
112244301123;ACEITE MINERAL FG 30ML.;97.03;2025-08;14
7795380002333;ACEMUK 200MG. X10CO.EFE;456.11; 2024-09;115
7795380043091;ACEMUK 2G. JBE.100ML.;556.96; 2025-03;37
7795380043145;ACEMUK 600MG. X10CO.EFE;428.68; 2024-08;1
7707355055756;ACEMUK 600MG. X30CO.EFE;991.58; 2025-03;68
8904187887855;ACETA-CAFEI VC650/65 10TA;76.88;2025-01;167
7591519008494;ACETA-TRAMA +MK X10TA;90.81; 2027-02;368
7598578000384;ACETA-TRAMA DAC X30TA;141.52; 2026-09;115
7591196004802;ACETAB 250MG. X20TA;530.92; 2025-02;255
7591616002142;ACETAFEN FORTE SU.ORAL120;94.76;2025-04;202
7594000851234;ACETAMIN CLORFEN BQ 120ML;99.94;2025-06;14
7591519004144;ACETAMINOFEN +MK500 X10TA;33.89; 2026-09;4201
7591519005264;ACETAMINOFEN +MK650 X10TA;38.53; 2026-12;1276
7591519001228;ACETAMINOFEN +MK650X10MOR;44.03; 2026-10;7804
7597758000459;ACETAMINOFEN AL180 120ML;131.14; 2025-06;4390
7597758000596;ACETAMINOFEN AL500 X20TA;56.65; 2025-04;2113
7598127000988;ACETAMINOFEN BM800 X10TA;41.6;2025-04;4080
7594000850626;ACETAMINOFEN BQ 500 X12TA;26.91;2025-07;453
7594000850855;ACETAMINOFEN BQ120MG100ML;77.19;2026-11;3870
7594000850824;ACETAMINOFEN BQ180MG120ML;89.38;2026-10;1498
7594000851265;ACETAMINOFEN BQ650 X20CO;60.44;2025-08;62
7594000851289;ACETAMINOFEN BQ750 X10CO;73.59;2024-11;39
7591818132074;ACETAMINOFEN CO120MG.J120;104.78; 2027-09;60
7591585179050;ACETAMINOFEN GN 650 X30CO;81.04; 2026-01;4568
7591585177780;ACETAMINOFEN GN180 SOL90;76.12; 2026-01;296
7591585376657;ACETAMINOFEN GN500 X10CO;29.12; 2026-02;3860
7591585379054;ACETAMINOFEN GN650 8B.X10;222.86; 2026-01;136
7591585279057;ACETAMINOFEN GN650 X10CO;26.29; 2026-02;10436
6921875008530;ACETAMINOFEN KMP500 X10TA;20.12;2025-08;57
720524031105;ACETAMINOFEN LAT500 X100;218.4; 2025-02;1219
7591196006387;ACETAMINOFEN LO120 SO120;98.55; 2026-11;975
7591196006486;ACETAMINOFEN LO120 SO60;58.76;2026-10;949
7591196006516;ACETAMINOFEN LO500 X10TA;24.05; 2026-12;53
7592454003100;ACETAMINOFEN LS150 120ML.;89.19; 2027-01;3892
7592454000031;ACETAMINOFEN LS500 X20TA;54.13; 2026-01;3483
7592454003391;ACETAMINOFEN LS650 20B.X5;296.19; 2026-01;90
7592454001243;ACETAMINOFEN LS650 X10TA;30.54; 2026-02;14142
7594001101604;ACETAMINOFEN PX650 X10TA;29.9;2025-11;5291
7598484000027;ACETAMINOFEN QF JBE.120ML;84.11; 2026-10;1372
7598484000010;ACETAMINOFEN QF100MG.15ML;65.26; 2026-01;644
7598484001000;ACETAMINOFEN QF500 X20TA;26.65; 2025-03;5868
7591196006523;ACETAMINOFN LO500 X30TA;67.57; 2026-11;1119
7592806121018;ACETOBEN JBE. 120ML.;195.0;2026-10;215
7591020008839;ACEVAL 180MG. SOL.PED.120;120.42;2025-11;293
7591020000611;ACEVAL 650MG. X10TA;53.14; 2027-11;439
7591020008471;ACEVAL 650MG. X50TA;225.59; 2027-08;33
7591020009423;ACEVAL DIA 650-20-2 X8TA;73.18;2025-10;170
7591020006156;ACEVAL GOTAS PED. 30ML.;115.27;2025-11;108
7591020009430;ACEVAL NOCHE 650-4 X6TA;73.02;2025-10;147
25525755;ACHICORIA FG JBE. 120ML.;110.23;2026-09;53
7707355050034;ACIBATH-S DERM,LIMP.120G.;528.49;2025-03;95
7591585311634;ACICLOR 5% CR.TOP. 10GR.;258.26; 2025-10;3637
7591585111838;ACICLOR AP 1GR. X10CO;705.25; 2026-09;184
