barcode;product;price;due_data;stock
7599028000848;ACEITE DE ALMENDRAS 30 ML LYA;52.97;NO;11
7592616576046;FEBRILIX GRIP  X 10TAB KIMICEG;64.59;NO;67
7592616203010;ACETAMINOFEN (FEBRILIX) 500MG CAJA X 20 TAB KIMICEG;50.36;NO;151
7598008000014;ACETAMINOFEN 120MG/5ML SUSP ORAL 120ML LAND;47.16;NO;104
7703038067269;ACETAMINOFEN 150MG/5ML 120ML LAPROFF;54.78;NO;610
7703038060987;ACETAMINOFEN 150MG/5ML X 60ML LAPROF;31.2;NO;385
7703038050018;ACETAMINOFEN 500 MG CAJA X 300 TAB X 30  BLIST LAPROF;300.76;NO;381
7598650000080;ACETAMINOFEN 500 MG X 10 TAB JL;16.33;NO;18
7590027002079;ACETAMINOFEN 750 MG X 10 COMP SPEFAR;78.04;NO;160
7703712035447;ACETAMINOFEN 150MG/5ML  X 60 ML COASPHARMA;51.88;NO;40
6942189530197;ACETAMINOFEN SUSP ORAL 250MG/5ML 100ML KMPLUS;60.22;NO;84
8906005118349;ACETAMINOFEN 650 CAFEINA 65 X 10 TAB EVERMED;31.2;NO;33
7598008000090;ACICLOVIR 200MG CAJA X 100 TAB X 10 BLIST LAND;305.11;NO;7
7598650000097;ACICLOVIR 500MG X 10 TAB JL;56.96;NO;1
08904324100922;ACIDO FOLICO  5MG CAJA X 200 TAB X 10 BLIST BIOVENEZUELA;101.58;NO;23
730170648978;ACIDO TRANEXAMICO 500MG/5ML I,V CAJA X 10 AMPOLLA KMPLUS;271.74;NO;6
7591096001499;ADRENALINA 1 MG/1ML  Epinefrina X 1 AMPOLLA BIOSANO;12.34;NO;41
6920210513029;AEROCHAMBER  ADULTO BIO-MERCY;634.28;NO;2
203571228037;AGUA ESTERIL AMP 10ML CRUZ VERDE;10.88;NO;330
7593255000114;AGUA OXIGENADA 3% 500CC ALNA;43.54;NO;21
7593255000091;AGUA OXIGENADA 3% 100CC ALNA;16.69;NO;84
759325500237;AGUA OXIGENADA 3% 120CC ALNA;18.87;NO;126
7593255000107;AGUA OXIGENADA 3% 240CC ALNA;28.66;NO;92
7703038050049;ALBENDAZOL 20ML CAJA X 12 SOBRE LAPROF;281.52;NO;30
7703038050056;ALBENDAZOL 200 MG CAJA X 50TAB X 25  BLIST LAPROF;285.16;NO;37
7593255000305;ALCOHOL ABSOLUTO 96% 100CC ALNA;27.94;NO;200
7593255000329;ALCOHOL ABSOLUTO 96% 240CC ALNA;59.14;NO;49
7593255000312;ALCOHOL ABSOLUTO 96% 120CC ALNA;33.74;NO;89
7596139004277;ALCOHOL AL 70% SOMTEX 240 ML SOMA (CHEMYCALS);72.56;NO;3
7593255000244;ALCOHOL ANTISEPTICO 70% 100CC ALNA;23.58;NO;258
7593255000299;ALCOHOL ANTISEPTICO 70% 120CC ALNA;27.21;NO;151
7593255000251;ALCOHOL ANTISEPTICO 70% 240CC ALNA;44.26;NO;27
7593255000268;ALCOHOL ANTISEPTICO 70% 500CC ALNA;81.63;NO;11
7593255000275;ALCOHOL ANTISEPTICO 70% 950CC ALNA;158.18;NO;4
7591012045003;ALIVIAMED  ROLL-ON 25G LYA;48.25;NO;5
7599028000381;ALIVIAMED CREMA 50 GR LYA;78.0;NO;10
7702123006787;ALKA SELTZER CAJA  X  60 TAB BAYER;699.84;NO;90
8906078136097;AMBROXOL 15 MG X 10 COMP ZUZU;25.03;NO;90
7592616005010;AMBROXOL 15MG/5ML PED X 120 ML KIMICEG;75.97;NO;12
8906078136103;AMBROXOL 30 MG X 10 COMP ZUZU;35.55;NO;262
7707236124632;AMIKACINA 100MG/2ML CAJA X 10 AMPOLLA VITALIS;261.22;NO;7
7800061020107;AMINOFILINA 250MG/10ML I,V X 1 AMPOLLA BIOSANO;29.39;NO;72
7598008000113;AMIODARONA 200 MG  X 10 TAB LAND;113.56;NO;45
7703038050063;AMITRIPTILINA 25MG CAJA X 400 TAB X 40 BLIST LAPROF;725.6;NO;96
7598008000120;AMLODIPINA 10 MG CAJA X 100 TAB X 10 BLIST LAND;125.89;NO;23
7592616014029;AMLODIPINA 10 MG X 20 TAB KIMICEG;50.75;NO;43
8904179732842;AMLODIPINA 10 MG X 30 TAB ARTE MEDICO;47.16;NO;55
8904159414515;AMLODIPINA 10MG X 10 TAB ADN;10.16;NO;44
7590027002710;AMOXI+ACD CLAVULA 250/62,5MG 5ML X 60 ML SPEFAR;156.59;NO;487
7590027000167;AMOXICILINA 250MG/5ML POLVO 45ML SPEFAR;91.74;NO;396
7750215007204;AMOXICILINA+A CLAV 250MG+62,5 X 60ML PORTUGAL;216.59;NO;8
791466996319;AMOXIPRAD-CL 875/125MG X 16 TAB DPT;251.07;NO;30
791466994964;AMOXIPRAD-CLS 600/42,9MG X 5 ML SUSP DPT;252.51;NO;194
7592349911244;ANDANTOL JALEA X  20G VARGAS;156.8;NO;29
8906009231020;ANOMEX ANTI-HEMORROIDAL X 10 SUP TIARES;227.48;NO;54
7703712030091;ANTIACIDO ANTIFLAT MENTA SUSP 150 ML COASPHARMA;78.59;NO;100
7592349001723;ANTIFOM 80MG/ML SUSP ORAL 20ML VARGAS;144.9;NO;24
7592349001068;ANTIFOM FORTE 160MG X 10 COMP VARGAS;211.58;NO;80
7592349722925;ANTIFOM COM/REC 40MG X10 VARGAS;123.48;NO;100
BRIXFLU-2;BRIXFLU- 2 CAJA X 100 TAB X 10 BLIST  BRIXMEDIC;246.7;NO;62
