barcode;product;price;due_data;stock
3031500311607; UVEBLOCK PROTECTOR SOLAR FLUIDO INVISIBLE SPF 50+ 40ML;24.21;01/01/2028;9
6930169708162;3 CREMA 1 MG - 0.5 MG - 10 MG X 30 GR BLUE MEDICAL;2.93;04/04/2025;346
733739000972;5 - HTP 50 MG X 30 CAPSULAS NOW;9.59;08/08/2026;38
733739001054;5- HTP NEUROTRANSMISOR SUPPORT 100 MG X 60 CAPSULAS NOW;21.87;01/02/2028;46
8901138848286;ABANA X 60 TABLETAS;9.8;08/08/2025;1
7598055000418;ABECAB 5MG -20 MG  X30TAB;8.5;01/11/2025;43
612197152006;ABINTRA POLVO SABOR NARANJA 27 GR;7.72;01/12/2025;164
7591619520896;ABRETIA 18 MG X 10 CAPSULAS;20.09;07/07/2026;5
6223004867132;ABSOCLEAR IV DRESSING CHLORHEXIDINE 10 X 12 CM X 25 UND REF ABSOCHG100120 PHARMAPLAST;30.8;01/10/2026;3
7803510003669;ACCUALAXAN POLVO PARA SOL ORAL 17 G X 7 SOBRES;7.81;01/02/2026;56
7803510003638;ACCUALAXAN POLVO PARA SOL ORAL 255 G;11.71;01/02/2026;3
8906158930065;ACECLOFENACO 400MG X 10 TABLETAS CAMBRIDGE;0.57;07/07/2025;200
7594001450016;ACEITE ALCANFORADO USO EXTERNO 30 ML RECETTE MARK;1.68;03/03/2025;35
7597134000851;ACEITE DE AGUACATE X 120 ML LA ABEJITA;3.99;11/11/2025;25
7592368002909;ACEITE DE ALMENDRAS 30 ML LAB F.S.I;2.29;01/03/2025;48
7599028000848;ACEITE DE ALMENDRAS 30 ML LYA;1.85;04/04/2025;72
7594001450030;ACEITE DE ALMENDRAS 30 ML RECETTE MARK;5.4;01/05/2025;91
759745600166;ACEITE DE ALMENDRAS 30 ML X 1 UND VITALCLINIC;1.12;01/03/2026;48
759745600173;ACEITE DE ALMENDRAS 60 ML X 1 UND VITALCLINIC;2.1;01/03/2028;48
7591616000032;ACEITE DE ALMENDRAS DULCES 30 ML BIOFARCO;1.78;10/10/2026;45
7592368000073;ACEITE DE COCO 30 ML LAB F.S.I;1.47;30/12/2025;42
7599028000046;ACEITE DE COCO 30 ML LYA;2.3;11/11/2026;13
7594001450054;ACEITE DE COCO 30 ML RECETTE MARK;0.95;01/01/2027;184
759745600142;ACEITE DE COCO 30 ML X 1 UND VITALCLINIC;1.12;01/03/2028;23
759745600159;ACEITE DE COCO 60 ML X 1 UND VITALCLINIC;2.1;01/03/2028;51
112244301154;ACEITE DE COCO EXTRAFINO 30 ML FARMAGENIK;3.03;01/08/2025;30
7591616001930;ACEITE DE HIGADO DE BACALAO PEDIATRICO 180 ML BIOFARCO;3.78;01/07/2024;85
617748376269;ACEITE DE MAGNESIO 118 ML VAL;7.4;01/02/2026;32
7594001450122;ACEITE DE PALO 30 ML RECETTE MARK;2.14;01/01/2027;68
7591616000131;ACEITE DE RICINO 30 ML BIOFARCO;2.49;09/09/2026;11
7592368000165;ACEITE DE RICINO 30 ML LAB F.S.I;2.57;30/03/2025;29
7594001450153;ACEITE DE RICINO 30 ML RECETTE MARK;2.39;06/06/2026;210
759745600128;ACEITE DE RICINO 30 ML X 1 UND VITALCLINIC;2.1;01/03/2028;48
759745600135;ACEITE DE RICINO 60 ML X 1 UND VITALCLINIC;4.2;01/03/2028;52
7592368000196;ACEITE MINERAL 30 ML LAB F.S.I;1.0;30/08/2026;9
7599028000060;ACEITE MINERAl 30 ML LYA;1.61;01/02/2026;103
7594001450092;ACEITE MINERAL 30 ML RECETTE MARK;0.92;11/11/2025;70
7795380002333;ACEMUK 200 MG X 10 COMPRIMIDOS EFERVESCENTES;13.87;30/09/2024;46
7707355055756;ACEMUK 600 MG X 30 COMPRIMIDOS EFERVESCENTE;29.5;03/03/2025;24
7795380043091;ACEMUK JARABE 2 G / 100 ML X 100 ML;15.49;01/03/2025;21
7591196004802;ACETAB 250 MG X 20 TABLETAS;14.69;02/02/2025;208
7598127000988;ACETAMINOFEN + PLUS 800 MG X 10 TABLETAS BLUE MEDICAL;0.56;10/10/2024;91
8904187887855;ACETAMINOFEN - CAFEINA X 10 TABLETAS VINCENTI;2.23;31/01/2025;14
