id;product_info;row_1;medicine_type;barcode;price;stock;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;laboratory;price_usd
000002;FEBRILIX GRIP  X 10TAB KIMICEG;0002;KIMICEG;7592616576046;64.59;61;0;0;0;0.00;NO;     ; ;0;0;0002;KIMICEG;1.85;
000004;ACETAMINOFEN (FEBRILIX) 500MG CAJA X 20 TAB KIMICEG;0002;KIMICEG;7592616203010;50.36;142;0;0;0;0.00;NO;     ; ;0;0;0002;KIMICEG;1.39;
000007;ACETAMINOFEN 120MG/5ML SUSP ORAL 120ML LAND;0005;JARABE;7598008000014;47.13;103;0;0;0;0.00;NO;     ; ;0;0;0006;LAND;1.30;
000008;ACETAMINOFEN 150MG/5ML 120ML LAPROFF;0005;JARABE;7703038067269;54.74;521;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;1.51;
000009;ACETAMINOFEN 150MG/5ML X 60ML LAPROF;0005;JARABE;7703038060987;31.18;315;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;0.86;
000011;ACETAMINOFEN 500 MG CAJA X 300 TAB X 30  BLIST LAPROF;0006;BLISTER;7703038050018;300.51;319;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;8.29;
000016;ACETAMINOFEN 750 MG X 10 COMP SPEFAR;0004;SPEFAR;7590027002079;78.04;154;0;0;0;0.00;NO;     ; ;0;0;0004;SPEFAR;2.15;
000017;ACETAMINOFEN 150MG/5ML  X 60 ML COASPHARMA;0005;JARABE;7703712035447;51.84;31;0;0;0;0.00;NO;     ; ;0;0;0011;COASPHARMA;1.43;
000018;ACETAMINOFEN SUSP ORAL 250MG/5ML 100ML KMPLUS;0005;JARABE;6942189530197;60.18;84;0;0;0;0.00;NO;     ; ;0;0;0012;KMPLUS;1.66;
000020;ACETAMINOFEN 650 CAFEINA 65 X 10 TAB EVERMED;0003;COMERCIAL CAJA;8906005118349;27.19;25;0;0;0;0.00;NO;     ; ;0;0;0003;EVERMED;0.75;
000021;ACICLOVIR 200MG CAJA X 100 TAB X 10 BLIST LAND;0006;BLISTER;7598008000090;304.86;5;0;0;0;0.00;NO;     ; ;0;0;0006;LAND;8.41;
000024;ACICLOVIR 500MG X 10 TAB JL;0003;COMERCIAL CAJA;7598650000097;56.91;53;0;0;0;0.00;NO;     ; ;0;0;0010;JL;1.57;
000029;ACIDO FOLICO  5MG CAJA X 200 TAB X 10 BLIST BIOVENEZUELA;0006;BLISTER;08904324100922;101.50;19;0;0;0;0.00;NO;     ; ;0;0;0017;BIOVENEZUELA;2.80;
000032;ACIDO MEFENAMICO 500MCG X 10 TAB EVERMED;0003;COMERCIAL CAJA;8906005118370;39.88;1;0;0;0;0.00;NO;     ; ;0;0;0003;EVERMED;1.10;
000033;ACIDO TRANEXAMICO 500MG/5ML I,V CAJA X 10 AMPOLLA KMPLUS;0007;AMPOLLA;730170648978;271.51;6;0;0;0;0.00;NO;     ; ;0;0;0012;KMPLUS;7.49;
000036;ADRENALINA 1 MG/1ML  Epinefrina X 1 AMPOLLA BIOSANO;0007;AMPOLLA;7591096001499;12.33;6;0;0;0;0.00;NO;     ; ;0;0;0022;BIOSANO;0.34;
000040;AGUA ESTERIL AMP 10ML CRUZ VERDE;0007;AMPOLLA;203571228037;10.88;61;0;0;0;0.00;NO;     ; ;0;0;0020;CRUZ VERDE;0.30;
000041;AGUA OXIGENADA 3% 500CC ALNA;0010;EQUIPOS MEDICOS;7593255000114;46.76;72;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;1.29;
000042;AGUA OXIGENADA 3% 100CC ALNA;0010;EQUIPOS MEDICOS;7593255000091;17.76;230;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.49;
000043;AGUA OXIGENADA 3% 120CC ALNA;0010;EQUIPOS MEDICOS;759325500237;20.30;234;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.56;
000044;AGUA OXIGENADA 3% 240CC ALNA;0010;EQUIPOS MEDICOS;7593255000107;31.18;142;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.86;
000045;ALBENDAZOL 20ML CAJA X 12 SOBRE LAPROF;0005;JARABE;7703038050049;281.30;25;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;7.76;
000046;ALBENDAZOL 200 MG CAJA X 50TAB X 25  BLIST LAPROF;0006;BLISTER;7703038050056;234.54;34;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;6.47;
000050;ALBENDAZOL 400MG X 2 TAB JL;0003;COMERCIAL CAJA;7598650000936;19.21;68;0;0;0;0.00;NO;     ; ;0;0;0010;JL;0.53;
000052;ALCOHOL ABSOLUTO 96% 100CC ALNA;0010;EQUIPOS MEDICOS;7593255000305;30.09;170;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.83;
000053;ALCOHOL ABSOLUTO 96% 240CC ALNA;0010;EQUIPOS MEDICOS;7593255000329;63.80;121;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;1.76;
000054;ALCOHOL ABSOLUTO 96% 120CC ALNA;0010;EQUIPOS MEDICOS;7593255000312;36.25;209;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;1.00;
000056;ALCOHOL AL 70% SOMTEX 240 ML SOMA (CHEMYCALS);0010;EQUIPOS MEDICOS;7596139004277;72.50;3;0;0;0;0.00;NO;     ; ;0;0;0027;LABORA CHEMYCALS SOM;2.00;
000057;ALCOHOL ANTISEPTICO 70% 100CC ALNA;0010;EQUIPOS MEDICOS;7593255000244;25.38;293;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.70;
000058;ALCOHOL ANTISEPTICO 70% 120CC ALNA;0010;EQUIPOS MEDICOS;7593255000299;29.36;247;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.81;
000059;ALCOHOL ANTISEPTICO 70% 240CC ALNA;0010;EQUIPOS MEDICOS;7593255000251;51.11;142;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;1.41;
000060;ALCOHOL ANTISEPTICO 70% 500CC ALNA;0010;EQUIPOS MEDICOS;7593255000268;89.18;96;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;2.46;
