barcode;price;due_data;stock
7591929222015;108.21;2026-12;8
733739001054;735.15; 2028-02;19
791466996005;325.0; 2026-10;184
7596347794793;325.0; 2025-11;1178
7598055000418;209.3; 2025-11;104
7591519004892;48.35; 2027-01;329
7591519001112;55.65; 2026-07;97
7592349926194;46.96; 2026-08;314
7591585271488;58.08; 2026-01;859
7591619501024;65.0;2027-07;1365
7591619501031;227.5;2026-10;494
7592601300779;203.71;2025-12;382
7592601300014;84.45;2025-11;1228
646824237101;303.3; 2024-12;39
7594001101338;37.44;2026-11;1392
7594001101345;51.48;2027-02;3030
646824257062;373.88; 2026-11;156
7803510003669;299.0; 2026-02;45
7803510003638;409.5; 2026-02;16
617748376269;289.58; 2026-08;6
7597134000851;159.64;2025-11;2
0147597773000197 N;871.57;N;1
7597134000097;155.65;2025-09;8
7594001455363;265.16;2025-06;260
17591616000039;799.03;2026-10;22
112244301147;122.47;2025-08;7
7592368002923;967.2; 2025-03;3
7592368000097;624.0; 2025-12;9
7594001455356;172.89;2025-02;2
7591616000056;94.76;2026-08;46
7594001450054;37.01;2027-01;435
7592368000165;84.24; 2025-03;244
7591616000162;64.03;2026-10;144
112244301123;97.03;2025-08;30
112244301130;118.7;2027-02;25
7594001455370;172.89;2026-06;24
7795380002333;456.11; 2024-09;110
7795380043091;556.96; 2025-03;28
7707355055756;991.58; 2025-03;59
8904187887855;76.88;2025-01;163
7591519008494;90.81; 2027-02;333
7598578000384;141.52; 2026-09;90
7591196004802;530.92; 2025-02;327
7591616002142;94.76;2025-04;160
7598828001024;29.84; 2025-03;108
7594000851234;99.94;2025-06;44
7591519004144;33.89; 2026-09;3715
7591519005264;38.53; 2026-12;26
7591519001228;44.03; 2027-01;6973
7597758000459;131.14; 2025-06;4418
7597758000596;56.65; 2025-04;2069
7598127000988;35.14;2025-04;4242
7594000850626;26.91;2025-07;311
7594000850855;77.19;2026-11;3577
7594000850824;89.38;2026-10;1401
7594000850633;48.75;2025-03;232
7594000851258;30.07;2025-08;89
7594000851265;60.44;2025-08;113
7594000851289;73.59;2024-11;88
7591818132074;104.78; 2027-09;96
7591585179050;81.04; 2026-01;3936
7591585177780;76.12; 2026-01;74
7591585376657;29.26; 2026-02;4054
7591585279057;26.29; 2026-02;4037
720524031105;218.4; 2025-02;996
7591196006387;101.5; 2026-11;964
7591196006486;61.7;2026-10;916
7591196006516;24.05; 2026-12;868
7592454003100;90.4; 2027-01;5076
7592454000031;54.87; 2026-03;4978
7592454003391;300.21; 2026-01;50
7592454001243;30.94; 2026-02;9513
7594001101604;28.7;2025-11;4489
7598484000027;84.11; 2026-10;1218
7598484000010;65.26; 2026-01;597
7598484001000;26.65; 2025-03;5303
7590027001669;98.23;2026-09;142
7590027002079;98.59;2025-09;116
7591196006523;72.31; 2026-11;1096
8906036366337;296.19; 2026-05;39
7592806121018;195.0;2026-10;303
7591020008839;120.42;2025-11;123
7591020000611;53.14; 2027-11;237
7591020008471;225.59; 2027-08;30
7591020009423;73.18;2025-10;145
7591020006156;115.58;2025-11;149
7591020009430;73.02;2025-10;115
7707355050034;528.49;2025-03;93
7591585311634;258.26; 2025-10;3536
7591585111838;712.65; 2026-09;105
7591519005639;177.76; 2027-01;430
7591519001099;161.62;2025-10;344
7598252101307;404.47;2025-01;76
720524031174;60.06;2026-04;141
7592348020114;117.82;2026-10;67
7592454102001;161.72; 2027-02;822
