barcode;price;due_data;stock
7599028000848;53.04;NO;5
7592616576046;64.59;NO;61
7592616203010;50.36;NO;142
7598008000014;47.23;NO;103
7703038067269;54.86;NO;527
7703038060987;31.24;NO;321
7703038050018;301.18;NO;343
7590027002079;78.04;NO;154
7703712035447;51.95;NO;31
6942189530197;60.31;NO;84
8906005118349;27.25;NO;25
7598008000090;305.54;NO;6
7598650000097;53.41;NO;34
08904324100922;101.72;NO;19
8906005118370;39.96;NO;21
730170648978;272.11;NO;6
7591096001499;12.35;NO;29
203571228037;10.9;NO;183
7593255000091;16.71;NO;54
759325500237;18.89;NO;38
7593255000107;28.7;NO;10
7703038050049;281.92;NO;27
7703038050056;235.06;NO;34
7598650000936;19.25;NO;72
7593255000305;30.15;NO;143
7593255000329;59.22;NO;25
7593255000312;33.79;NO;25
7596139004277;72.66;NO;3
7593255000244;23.61;NO;243
7593255000299;27.25;NO;117
7593255000251;44.32;NO;3
7593255000275;158.4;NO;1
7591012045003;48.32;NO;5
7599028000381;78.11;NO;10
7702123006787;700.81;NO;73
7592616005010;84.3;NO;16
7707236124632;261.58;NO;6
7800061020107;27.61;NO;160
7598008000113;113.71;NO;35
7703038050063;726.6;NO;93
7598008000120;126.07;NO;23
7592616014029;50.75;NO;14
8904179732842;47.23;NO;45
8904159414515;10.17;NO;10
7590027002710;156.59;NO;387
7590027000167;109.84;NO;413
7703712030039;55.95;NO;118
7750215007204;229.24;NO;31
791466994964;252.86;NO;186
7592349911244;156.8;NO;27
8906009231020;227.79;NO;47
7703712030091;67.21;NO;209
7592349001723;144.9;NO;16
7592349001068;211.58;NO;61
7592349722925;123.48;NO;64
BRIXFLU-2;247.04;NO;61
BRIXFLU-4;247.04;NO;48
8904187862395;48.32;NO;5
7593090000034;85.29;NO;8
7750215023792;181.65;NO;10
7591243802115;296.59;NO;77
7596526000493;155.86;NO;1095
8906122851464;23.25;NO;26
7598008000175;62.85;NO;7
8904179733900;31.24;NO;17
791466993400;22.52;NO;7
7590027002581;117.25;NO;712
7590027002567;140.23;NO;705
7703712030152;66.12;NO;84
7750215017562;158.04;NO;85
7770108671039;79.93;NO;154
7703038131663;1035.04;NO;22
7598176000052;63.21;NO;421
7590027002451;102.31;NO;394
8906154610008;129.7;NO;26
7591012041221;60.31;NO;8
7598008002063;290.64;NO;234
7592616021010;114.95;NO;62
7593090002397;281.52;NO;12
7593090000577;292.78;NO;15
7591243804041;119.49;NO;77
7596526001346;166.75;NO;35
438101012408;207.44;NO;6
7591243804140;113.31;NO;89
7591243804164;129.16;NO;58
8904187831728;54.86;NO;7
7591243804331;119.04;NO;88
7591243804287;87.75;NO;15
7591243804409;139.02;NO;1146
731946648444;47.96;NO;812
7750215023396;76.66;NO;20
7598650000172;232.51;NO;23
7899095203266;122.07;NO;191
769503302270;72.66;NO;35
8904324100410;71.21;NO;64
7598455000285;98.45;NO;9
8904210707167;161.67;NO;273
8904210707112;100.27;NO;14
7598455000193;409.8;NO;54
7598455000209;404.72;NO;2
8904210707051;55.22;NO;17
8904210707044;54.13;NO;3
7598455000278;240.5;NO;1
7598455000162;389.09;NO;6
7598455000155;256.13;NO;23
S/C000195;93.37;NO;518
7592349723618;95.55;NO;22
7592349723557;109.76;NO;14
7592349001563;142.8;NO;20
7592349001570;142.8;NO;11
S/C000201;33.06;NO;6
8906082150997;25.79;NO;7
8906130230886;166.03;NO;1
8906130230893;160.94;NO;16
8904324102001;66.48;NO;33
7467922681626;106.45;NO;6
7591243805338;177.95;NO;299
7591243805420;274.7;NO;31
7597072001187;51.95;NO;8
7591243807202;139.18;NO;228
7501384506056;106.45;NO;58
7591651896805;161.7;NO;6
7896112114413;135.87;NO;357
7709990706628;271.39;NO;48
7598455000346;1348.93;NO;2
7800061065306;67.57;NO;92
7598852000796;270.66;NO;19
7703153011468;96.64;NO;46
7467922682760;479.56;NO;1
8906112611412;108.99;NO;44
8906112611429;142.05;NO;11
7598176000694;160.58;NO;92
724373531090;173.58;NO;74
781100195765;236.78;NO;77
7598008000236;17.44;NO;51
7598127001510;50.5;NO;38
7592616576145;60.38;NO;43
7595368012732;463.37;NO;3
7591243807813;187.71;NO;173
7598008001233;98.45;NO;21
7705959003609;211.8;NO;603
8906082151192;41.42;NO;17
7591651930967;120.18;NO;71
7590027002376;83.9;NO;166
7598008000267;31.24;NO;229
7592616576626;104.08;NO;52
7598008000274;30.52;NO;11
7592616576657;174.51;NO;60
8906112610460;34.51;NO;49
7502226296562;163.49;NO;34
7598650000202;119.53;NO;36
S/C000271;40.33;NO;13
7707236120900;57.76;NO;219
7707236123307;94.82;NO;70
6930169708087;224.52;NO;49
S/C000276;26.52;NO;100
7709526459875;53.41;NO;3
7707236121969;95.18;NO;30
7598650000226;23.25;NO;91
7702184876732;488.28;NO;41
7750215003299;71.57;NO;71
7896523208022;192.19;NO;73
8904187829183;29.01;NO;44
7468999187684;59.22;NO;65
730170649234;106.45;NO;170
7595368000104;308.32;NO;10
7840036103503;1120.14;NO;12
7598176000045;156.22;NO;3
7750215020647;381.1;NO;18
7750215962480;1236.31;NO;18
8904178930348;72.66;NO;215
7598431000070;262.67;NO;25
7800061095105;18.53;NO;1
731946648536;26.52;NO;37
7590027002024;95.05;NO;55
7800061105101;10.54;NO;281
7703712030695;47.23;NO;112
7898216362431;101.0;NO;7
7597773000038;85.81;NO;53
7750215136249;72.3;NO;12
7707184161093;79.56;NO;26
7770108122203;91.19;NO;4
7592616584102;98.89;NO;42
7598650000257;77.75;NO;142
8904097387148;305.17;NO;29
7596526001384;166.03;NO;11
7596526000028;166.03;NO;34
8906005118363;60.67;NO;21
8906005118233;40.33;NO;9
7591243810028;155.66;NO;13
7898108640609;28.7;NO;858
7596139000200;85.38;NO;7
7796285053468;528.21;NO;7
S/C000373;191.46;NO;44
8906130232002;765.11;NO;2
7707193642439;146.77;NO;157
7592616576558;55.98;NO;107
7590027002253;61.06;NO;56
7592616579016;82.24;NO;34
8904209413635;47.96;NO;223
7750215026502;464.66;NO;20
7598650000370;145.32;NO;38
7591096000218;12.35;NO;74
8906130231814;75.57;NO;18
7591243811704;240.8;NO;39
7598252000556;97.36;NO;8
7896116865618;181.29;NO;973
731946648567;21.8;NO;131
8906130230978;112.99;NO;24
8906130230961;97.73;NO;7
229687658735;385.46;NO;61
8908020229031;72.66;NO;1082
18906051722719;92.64;NO;11
7590027000495;75.0;NO;29
6942189211461;17.08;NO;125
8906045360456;17.08;NO;192
6942189304156;5.45;NO;678
7707236128739;91.55;NO;87
7703712030237;73.39;NO;95
7592616165028;32.26;NO;244
8906130230985;176.56;NO;7
7592349001037;214.2;NO;63
7703038050216;530.78;NO;120
228598745626;99.18;NO;24
7707236128814;97.0;NO;51
7598252000396;381.83;NO;15
7598252000501;133.33;NO;10
8906130231999;1453.2;NO;2
8906130232187;2022.49;NO;2
8906130231180;632.87;NO;13
7598176000212;65.39;NO;58
8904278581549;213.98;NO;10
7590027001843;77.68;NO;76
736372795601;49.41;NO;16
8906130231982;1707.51;NO;1
791466993431;53.41;NO;14
791466993424;39.96;NO;73
7591651932299;378.0;NO;18
ERBRIX50;49.77;NO;240
ERBRIX100;50.5;NO;216
7800061170109;120.25;NO;185
7598008000366;122.43;NO;20
8906130230213;97.0;NO;16
8904271594652;155.86;NO;38
8906130232149;6733.04;NO;1
8906130231975;1282.09;NO;2
7598677000315;98.82;NO;14
7501384506872;81.02;NO;17
7703038065920;89.01;NO;317
7598176000465;87.19;NO;2
7591651001452;126.21;NO;41
7501298224954;285.92;NO;1336
7596526000554;134.78;NO;103
7468191031921;357.85;NO;5
7468191031938;507.89;NO;16
7592616197012;38.99;NO;11
7591243817607;92.68;NO;30
7800061191166;38.51;NO;102
7592616576992;80.36;NO;28
7598176000274;148.95;NO;16
7800061210201;15.99;NO;68
7896714203768;312.07;NO;554
7592349722536;166.36;NO;24
8904210707204;24.34;NO;36
7598008000397;41.05;NO;77
7590027000563;68.05;NO;72
7703038066996;865.74;NO;14
7468999187714;63.21;NO;33
