barcode;name
3031500311607; UVEBLOCK PROTECTOR SOLAR FLUIDO INVISIBLE SPF 50+ 40ML
6930169708162;3 CREMA 1 MG - 0.5 MG - 10 MG X 30 GR BLUE MEDICAL
733739000972;5 - HTP 50 MG X 30 CAPSULAS NOW
733739001054;5- HTP NEUROTRANSMISOR SUPPORT 100 MG X 60 CAPSULAS NOW
7598055000418;ABECAB 5MG -20 MG  X30TAB
612197152006;ABINTRA POLVO SABOR NARANJA 27 GR
6223004867132;ABSOCLEAR IV DRESSING CHLORHEXIDINE 10 X 12 CM X 25 UND REF ABSOCHG100120 PHARMAPLAST
7803510003669;ACCUALAXAN POLVO PARA SOL ORAL 17 G X 7 SOBRES
7803510003638;ACCUALAXAN POLVO PARA SOL ORAL 255 G
8906158930065;ACECLOFENACO 400MG X 10 TABLETAS CAMBRIDGE
7594001450016;ACEITE ALCANFORADO USO EXTERNO 30 ML RECETTE MARK
7597134000851;ACEITE DE AGUACATE X 120 ML LA ABEJITA
7592368002909;ACEITE DE ALMENDRAS 30 ML LAB F.S.I
7599028000848;ACEITE DE ALMENDRAS 30 ML LYA
7594001450030;ACEITE DE ALMENDRAS 30 ML RECETTE MARK
759745600173;ACEITE DE ALMENDRAS 60 ML X 1 UND VITALCLINIC
7591616000032;ACEITE DE ALMENDRAS DULCES 30 ML BIOFARCO
7592368000073;ACEITE DE COCO 30 ML LAB F.S.I
7599028000046;ACEITE DE COCO 30 ML LYA
7594001450054;ACEITE DE COCO 30 ML RECETTE MARK
112244301154;ACEITE DE COCO EXTRAFINO 30 ML FARMAGENIK
7591616001930;ACEITE DE HIGADO DE BACALAO PEDIATRICO 180 ML BIOFARCO
617748376269;ACEITE DE MAGNESIO 118 ML VAL
759745600135;ACEITE DE RICINO 60 ML X 1 UND VITALCLINIC
7599028000060;ACEITE MINERAl 30 ML LYA
7594001450092;ACEITE MINERAL 30 ML RECETTE MARK
7795380002333;ACEMUK 200 MG X 10 COMPRIMIDOS EFERVESCENTES
7707355055756;ACEMUK 600 MG X 30 COMPRIMIDOS EFERVESCENTE
7795380043091;ACEMUK JARABE 2 G / 100 ML X 100 ML
7591196004802;ACETAB 250 MG X 20 TABLETAS
7598127000988;ACETAMINOFEN + PLUS 800 MG X 10 TABLETAS BLUE MEDICAL
8904187887855;ACETAMINOFEN - CAFEINA X 10 TABLETAS VINCENTI
7590027002444;ACETAMINOFEN - CLORFENIRAMINA 125 MG - 1 MG / 5 M JARABE 120 ML SPEFAR
7598828001024;ACETAMINOFEN - CLORFENIRAMINA 500 MG - 4 MG X 20 TABLETAS GLAFF
A8906130231319;ACETAMINOFEN - CLORFENIRAMINA BRIXFLU-4 500 MG - 4 MG X 10 TABLETAS BRIX MEDIC
1890604759445;ACETAMINOFEN - TIOCOLCHICOSIDO 500 MG - 4 MG X10 TABLETAS JMW
7591519008494;ACETAMINOFEN - TRAMADOL 325 MG - 37.5 MG X 10 TABLETAS CALOX
