codbarras;descrip
817910010285;2 TETINAS FLUJO  MEDIO 3M+  CUELLO ANCHO BABY
817910010322;2 TETINAS FLUJO  MEDIO 6M+  CUELLO ANCHO BABY
733739001054;5-HTP 100 mg 60 VCAPS NOW
612197152006;ABINTRA 27GR MEGALABS
7591619520896;ABRETIA 18MG X 10 CAP MEGALABS
7803510003638;ACCUALAXAN POLVO PARA SOL. ORAL X 255G MEGALA
7803510003669;ACCUALAXAN SUSP. ORAL 17g X 7 SOB MEGALABS
7591616000056;ACEITE COCO 30ML BIOFARCO
7597134000097;ACEITE DE ALMENDRA X 120 ML LA ABEJITA
7599028000848;ACEITE DE ALMENDRAS 30ML LYA
7591616000032;ACEITE DE ALMENDRAS DULCES 30CC BIOFARCO
7599028000046;ACEITE DE COCO USO EXTERNO 30 CC LYA
7599028000053;ACEITE DE RICINO 30 CC LYA
7597134000103;ACEITE DE RICINO X 120 ML LA ABEJITA
7599028000060;ACEITE MINERAL 30 CC LYA
8904278577481;ACEITE RELAJANTE DE MASAJE PARA BEBE FAHD
7591616000131;ACEITE RICINO 30ML BIOFARCO
7795380043091;ACEMUK 100 ML JBE MEYER
7795380043145;ACEMUK 600 MG X 10 COMP MEYER
7707355055756;ACEMUK 600 MG X 30 COMP MEYER
7591196004802;ACETAB 250MG X 20 TAB OFTALMI
8904180212937;ACETAM. AC.ACET. CAFEI.(ASTAMINOL) X20TAB JMW
7591585112477;ACETAMI+TRAMAD 37,5/325(TEFENOL)X20 COMP LETI
18906047594450;ACETAMINO+TIOCOLCHICOSI 500/4mg X100TAB JMW
7460260000753;ACETAMINOFEN (PARACETAMOL) 500MGX100 TAB BALA
7591196006387;ACETAMINOFEN 120MG/5ML JBE 120ML OFTALMI
7591196006486;ACETAMINOFEN 120MG/5ML JBE 60ML OFTALMI
7591818132074;ACETAMINOFEN 120MG/5ML JBE X120ML COFASA
7597758000770;ACETAMINOFEN 125 MG SUPOSITORIOS X 6 ALESS
7591585177780;ACETAMINOFEN 180MG/5ML JBE X 90ML GENVEN
7597758000787;ACETAMINOFEN 250 MG SUPOSITORIOS X 6 ALESS
7592454003384;ACETAMINOFEN 500 MG DISP X 100 TAB LA SANTE
7591585376657;ACETAMINOFEN 500 MG X 10 COMP GENVEN
7594000850626;ACETAMINOFEN 500MG TAB X 12 BIOQUIMICA
7594000850633;ACETAMINOFEN 500MG TAB X 24 BIOQUIMICA
7591519004144;ACETAMINOFEN 500MG X 10 TAB  CALOX
720524031105;ACETAMINOFEN 500MG X 100 TAB LATTAN
7592454000031;ACETAMINOFEN 500MG X 20 TAB   LA SANTE
7597758000596;ACETAMINOFEN 500MG X 20 TAB ALESS
7591519005264;ACETAMINOFEN 650MG X 10 TAB  CALOX
7591519001228;ACETAMINOFEN 650MG X 10 TAB (MOROCHO) CALOX
18906047594863;ACETAMINOFEN 650MG X 100 TAB JMW
7591585479051;ACETAMINOFEN 650MG X 8 BLIST X 10 COMP LETI
7594000850855;ACETAMINOFEN JBE 120MG/5ML X 100ML BIOQUIMICA
7592454003100;ACETAMINOFEN JBE PED 150/5ML X120ML  LA SANTE
7597758000459;ACETAMINOFEN JBE PED 180/5ML X120ML ALESS
7594000850824;ACETAMINOFEN JBE. 180MG X 120ML BIOQUIMICA
7598981001176;ACETAMINOFEN SUSP ORAL  120MG/5MG X 60ML JMW
