barcode;name;laboratory
854688003309;PURE DE MANZANA Y PERA 90GR. MAH;
854688003293;PURE DE MANZANA Y BANANA ORGANICO 90GR.;
854688003286;PURE DE MANZANA 90GR. MAH;
854688003668;PURE FRUTOS DEL BOSQUE  90GR. MAH;
854688003651;PURE FRUTAS TROPICALES  90GR. MAH;
854688003644;PURE DE MELOCOTON FRESA MANZANA 90GR  MA;
854688003682;PURE DE FRUTAS Y VEGETALES 90GR. MAH;
854688003330;PURE DE MANZANA Y MANGO ORGANICO 90 GR.;
854688003514;GALLETAS CLAS INF MAH FIRST COOKIES 100G;
854688003002;FORMULA 0-6 MESES HMO+1 MAH;
854688003033;FORMULA MAYOR DE 6 MESES HM0+2 MAH;
854688003842;FORMULA MAYOR DE 2 AOS HMO+3 MAH;
854688003729;FORMULA PREMIUM 6-12 MES 400G.MAH X 1;
854688003040;FORMULA PREMIUM S/LAC 0-12MESES 400G.MAH;
1018455173;NUCITA MERIENDITA D/S 6UND 20G MULTIPACK;
7591675014407;PIRULIN LIME  ENVASE 190GR;
7591675012984;PIRULIN DISP 25PAQ X 3UND 16GR;
7591675013110;PIRULIN MAX CHOCO DISP 12 BARQUILLAS 34G;
7591675013158;PIRULIN COCO ESTUCHE 25 x  3UND X 16GR;
7591675012847;PIRULIN COCO ENVASE 190GR;
7591675000325;PIRULIN LIME ESTUCHE 3UND 16GR;
7591675000349;TOMI ESTUCHE  6UND 12GR;
7591675000127;PIRULIN CHOCOLATE DISPENSADOR 12 X 60GR;
7591675004767;PIRULIN CHOCO LUJO 120GR EDICION ESPECIA;
7591675000097;NUCITA TOPPING CREMA DE CACAO Y AVE 300G;
7591675014209;NUCITA D/S TUBITO DISPLAY 12 X 35G;
7591675012922;NUCITA TUBITO D/SABOR 3UND 35G MULTIPACK;
7591675014247;NUCITA MERIENDITA D/S 12 X 20G;
7591675000363;NUCITA D/S VASO DE PLASTICO 200G;
7591675000264;NUCITA D/S VASO DE PLASTICO DISPLAY 85G;
7591675013004;NUCITA PREMIUM ENVASE 280G;
7591675010508;PIRULIN CHOCOLATE ENVASE 300GR;
7591675014223;NUCITA 12 TUBITO 35G CHOCOLATE;
7591675002145;PIRULIN ENVASE 190GR CHOCOLATE;
7506205804847;NUTRAMIGEN PREMIUM CON LGG 357GR GENIA C;
7506205808999;ENFAMIL PREMIUM PROMENTAL 375G ETAPA 1;Genia Care, C.A
7506205808944;ENFAMIL PREMIUM PROMENTAL 375G ETAPA 2;Genia Care, C.A
7591114040042;MAYONESA KRAFT 445G MONDELEZ;
7622201512279;MAYONESA KRAFT 175G MONDELEZ;
7622201640767;CHEEZ WHIZ  198G  MONDELEZ;
7590011891962;TANG NARANJA 12SOBRES 20G MONDELEZ;
7590011892525;TANG MORA 12SOBRES  20G  MONDELEZ;
7590011891986;TANG PARCHITA 12SOBRES 20G  MONDELEZ;
7622210611307;CLUB SOCIAL INTEGRAL 6S 156G MONDELEZ;
7622210610652;CLUB SOCIAL ORIGINAL  6S 156G MONDELEZ;
7622201705848;OREO CONFETI TUBO 108GR MONDELEZ;
7590011890866;BELVITA KRAKER 9S  234GRS MONDELEZ;
7590011890910;BELVITA HONY 9S OW  252G MONDELEZ;
7622210711069;SODA PREMIUM 6S  OW  156GR  MONDELEZ;
7622210615183;OREO VAINILLA  6S 216G MONDELEZ;
7590011116607;OREO VAINILLA TUBO 108G MONDELEZ;
